Date,Midcoast,JW Group,Heartbreakers FC,The Real Portland Timbers,One Love FC,Duppy Conquerors,Thunder FC,The Escape Room,Farmers FC,Lone Pine,U Gonna Learn Today,Portland Phoenix FC,Old Port FC,Yankee Ford Sporting Club,Carlos Auto Repair,Baxter Pines FC
2024-06-20,,,,,24.301860960447744,,154.12337433699616,25.430503026350454,26.665723301511626,23.905421132568673,,,123.9189897988178,,80.08407734800137,135.33939830374493
2024-06-25,,,,,24.301860960447744,,154.12337433699616,25.430503026350454,26.261752761709033,23.85801189968022,,,108.40578166499657,,66.81634410635807,135.33939830374493
2024-06-27,,,,,24.257110494630783,,152.11332046640197,25.133694993406507,26.261752761709033,23.85801189968022,,,108.40578166499657,,66.81634410635807,116.6203148725551
2024-07-02,,,,,24.009025070647386,,152.11332046640197,25.133694993406507,25.927177367523324,23.85801189968022,,,96.61964011981887,,66.81634410635807,101.79946887842564
2024-07-09,,,,,24.009025070647386,,152.11332046640197,24.766178477370488,25.927177367523324,23.682997422541412,,,96.61964011981887,,58.484216453121974,81.98104614711565
2024-07-11,,,,,23.5816687934144,,155.60936515331503,24.766178477370488,25.850215521447332,23.682997422541412,,,89.68741648163586,,58.484216453121974,81.98104614711565
2024-07-16,,,,,23.5816687934144,,153.99553129808498,24.766178477370488,25.850215521447332,23.682997422541412,,,84.13684175726642,,58.484216453121974,81.98104614711565
2024-07-18,,,,,23.2694391152204,,153.99553129808498,24.46058036386525,25.850215521447332,23.682997422541412,,,84.13684175726642,,52.63220319976319,67.8338789277221
2024-07-23,,,,,23.2694391152204,,153.0663267966855,24.46058036386525,25.71326711546588,23.39639290164035,,,84.13684175726642,,52.63220319976319,64.3503107505041
2024-07-25,,,,,23.00442802984614,,153.0663267966855,24.140222786506733,25.71326711546588,23.39639290164035,,,79.66667007972653,,51.57748745890794,64.3503107505041
2024-07-30,,,,,23.00442802984614,,154.6482809378144,24.140222786506733,25.71326711546588,23.238748380110536,,,79.66667007972653,,49.25128439078307,60.87760166254856
2024-08-01,,,,,22.815286434820926,,154.6482809378144,23.72740583865443,25.19861044778907,23.238748380110536,,,68.6965336475936,,49.25128439078307,60.87760166254856
